medal;country;athlete_name;games;sport;event;sex
2;Australia;Paul DEARING/Robert HAIGH/Gordon PEARCE/Desmond PIPER/Patrick NILAN/Ronald RILEY/Donald MARTIN/Julian PEARCE/Brian GLENCROSS/Frederick QUINN/Raymond EVANS/Eric PEARCE/James MASON/Donald SMART;Mexico;Hockey;hockey;Men's
2;Australia;Michael MORGAN/Peter DICKSON/Robert SHIRLAW/Gary PEARCE/David DOUGLAS/Alfred DUVAL/Alan GROVER/John RANCH/Joseph FAZIO;Mexico;Rowing;eight with coxswain (8+);Men's
2;Australia;Mike WENDEN/Robert WINDLE/Gregory ROGERS/Graham WHITE;Mexico;Swimming;4x200m freestyle relay;Men's
2;Australia;Lynette MCCLEMENTS/Judy PLAYFAIR/Janet STEINBECK/Lynette WATSON;Mexico;Swimming;4x100m medley relay;Women's
3;Australia;Jennifer LAMY;Mexico;Athletics;200m;Women's
3;Australia;Brian COBCROFT/Wayne ROYCROFT/Bill ROYCROFT;Mexico;Equestrian Eventing;team;Mixed
3;Australia;Gregory BROUGH;Mexico;Swimming;1500m freestyle;Men's
3;Australia;Mike WENDEN/Robert CUSACK/Gregory ROGERS/Robert WINDLE;Mexico;Swimming;4x100m freestyle relay;Men's
3;Australia;Karen MORAS;Mexico;Swimming;400m freestyle;Women's
1;Australia;Thomas ANDERSON/John SHAW/John Bruce CUNEO;Germany;Sailing;dragon;Mixed
1;Australia;John ANDERSON/David FORBES;Germany;Sailing;two-person keelboat (Star);Mixed
1;Australia;Brad COOPER;Germany;Swimming;400m freestyle;Men's
1;Australia;Shane GOULD;Germany;Swimming;200m freestyle;Women's
1;Australia;Shane GOULD;Germany;Swimming;400m freestyle;Women's
1;Australia;Beverly WHITFIELD;Germany;Swimming;200m breaststroke;Women's
1;Australia;Shane GOULD;Germany;Swimming;200m individual medley;Women's
1;Australia;Gail NEALL;Germany;Swimming;400m individual medley;Women's
2;Australia;Raelene Ann BOYLE;Germany;Athletics;100m;Women's
2;Australia;Raelene Ann BOYLE;Germany;Athletics;200m;Women's
2;Australia;Clyde SEFTON;Germany;Cycling Road;individual road race;Men's
2;Australia;John Michael NICHOLSON;Germany;Cycling Track;sprint individual;Men's
2;Australia;Daniel CLARK;Germany;Cycling Track;1km time trial;Men's
2;Australia;Graham WINDEATT;Germany;Swimming;1500m freestyle;Men's
2;Australia;Shane GOULD;Germany;Swimming;800m freestyle;Women's
3;Australia;Shane GOULD;Germany;Swimming;100m freestyle;Women's
3;Australia;Beverly WHITFIELD;Germany;Swimming;100m breaststroke;Women's
